site,country,lat,lon,bioregion,code,used
Reconquista,Argentina,-29.32559967,-60.13380051,Misiones,625,yes
Resistencia,Argentina,-27.65279961,-59.0143013,Misiones,635,yes
Rivadavia,Argentina,-24.18330002,-62.88330078,Piedmont,652,yes
San Antonio de PachÌn,Argentina,-28.01919937,-65.69860077,Piedmont,679,yes
San Javier,Argentina,-27.68000031,-54.95000076,Misiones,680,yes
"Santa Fe, bosque seco",Argentina,-31.75,-60.54999924,Misiones,696,yes
Trancas,Argentina,-26.12989998,-65.36930084,Piedmont,777,yes
Vera,Argentina,-29.34790039,-60.24160004,Misiones,796,yes
Villa Ocampo,Argentina,-28.44219971,-59.21749878,Misiones,799,yes
Arbol blanco,Argentina,-30.15550041,-64.75160217,NA,NA,No
Agua del Tala,Argentina,-31.23500061,-65.37879944,NA,NA,No
Aguar· Grande,Argentina,-30.04080009,-60.86520004,NA,NA,No
Aguas Blancas,Argentina,-26.36940002,-64.77829742,NA,NA,No
Calilegua (18 km NW),Argentina,-23.77000046,-64.76000214,NA,NA,No
Camino al arroyo Cafetal,Argentina,-23.65999985,-64.94000244,NA,NA,No
Candelaria,Argentina,-27.46999931,-55.75999832,NA,NA,No
Cerro 20 de Febrero,Argentina,-24.78440094,-65.32420349,NA,NA,No
ChancanÌ,Argentina,-31.39419937,-64.49859619,NA,NA,No
Chicoana,Argentina,-25.10400009,-65.55049896,NA,NA,No
Cruz Quemada,Argentina,-24.2833004,-64.6832962,NA,NA,No
CuÒa Boscosa-Quebracal tÌpico,Argentina,-29.11759949,-60.15259933,NA,NA,No
El Carrizal,Argentina,-28.92000008,-65.51000214,NA,NA,No
El Puestito,Argentina,-26.41889954,-64.77600098,NA,NA,No
El Remate,Argentina,-26.19860077,-64.44609833,NA,NA,No
Formosa,Argentina,-25.94129944,-58.20140076,NA,NA,No
Formosa,Argentina,-25.54000092,-58.13000107,NA,NA,No
FortÌn Olmos,Argentina,-28.79870033,-60.70069885,NA,NA,No
Fuerte Esperanza,Argentina,-25.62330055,-61.75579834,NA,NA,No
General G¸emes,Argentina,-25.26720047,-61.78310013,NA,NA,No
Guasay·n,Argentina,-27.99810028,-64.81109619,NA,NA,No
InfanzÛn,Argentina,-28.5855999,-65.4375,NA,NA,No
InfanzÛn al este,Argentina,-28.61779976,-65.39640045,NA,NA,No
Las Gamas,Argentina,-29.3458004,-60.59590149,NA,NA,No
LCOLORAD,Argentina,-24.63299942,-63.79999924,NA,NA,No
LeÛn Pozo,Argentina,-24.21730042,-61.45890045,NA,NA,No
Lindero,Argentina,-28.58469963,-65.51580048,NA,NA,No
Loreto,Argentina,-28.33279991,-57.43889999,NA,NA,No
Los Alisos,Argentina,-24.18000031,-64.73999786,NA,NA,No
Los Juries,Argentina,-28.42480087,-62.25310135,NA,NA,No
Mina clavero,Argentina,-31.73699951,-65.04689789,NA,NA,No
Palma sola,Argentina,-23.63339996,-61.36660004,NA,NA,No
Parque Nacional Calilegua,Argentina,-24.72999954,-64.63999939,NA,NA,No
Parque Nacional Calilegua (orillas del Arroyo Negrito),Argentina,-23.70999908,-64.94999695,NA,NA,No
Parque Provincial Sierra de San Javier,Argentina,-26.76000023,-65.33999634,NA,NA,No
RÌo LavayÈn,Argentina,-23.75,-64.91999817,NA,NA,No
"Ruta Nacional N∞ 9, KM 1640-1644.",Argentina,-25.31310081,-64.93890381,NA,NA,No
Salta,Argentina,-24.78980064,-65.38610077,NA,NA,No
San Miguel,Argentina,-26.38290024,-64.6710968,NA,NA,No
San Miguel - San Alonso 1,Argentina,-28.33279991,-57.43889999,NA,NA,No
San Miguel- San Alonso 2,Argentina,-28.33279991,-57.43889999,NA,NA,No
San Pedro,Argentina,-26.48999977,-54.16999817,NA,NA,No
Santa Clara,Argentina,-24.31999969,-64.63999939,NA,NA,No
Severino,Argentina,-24.40999985,-65.26000214,NA,NA,No
Taco Pozo,Argentina,-25.62700081,-63.33060074,NA,NA,No
Villa delo Soto,Argentina,-30.90069962,-65.04969788,NA,NA,No
Villa Minetti,Argentina,-28.62299919,-61.6269989,NA,NA,No
Vinalito,Argentina,-23.69000053,-64.44000244,NA,NA,No
Abaco,Bahamas,26.31579971,-77.00589752,Caribean,4,yes
Eleuthera1,Bahamas,25.38290024,-76.53630066,Caribean,259,yes
Eleuthera2,Bahamas,24.91620064,-76.165802,Caribean,260,yes
Area Natural de Manejo Integrado Madidi,Bolivia,-14.46529961,-68.54250336,Piedmont,45,yes
Area Protegida Departamental Monumento Natural Espejillos,Bolivia,-17.88419914,-63.42969894,Piedmont,46,yes
"Arenales de Guanacos, chaco",Bolivia,-18.93000031,-63.20000076,Piedmont,49,yes
"Brecha Mini, chaco",Bolivia,-19.67000008,-62.91999817,Piedmont,105,yes
CambarÌ,Bolivia,-22.14999962,-64.41670227,Piedmont,133,yes
"Camiri, chaco",Bolivia,-20.54999924,-63.22999954,Piedmont,134,yes
CHAQUIMA,Bolivia,-14.56700039,-68.46700287,Piedmont,188,yes
"Chuquisaca, bosque andino",Bolivia,-20.46999931,-63.91999817,Piedmont,191,yes
Comunidad de Azariamas - ¡rea Natural de Manejo Integrado Madidi,Bolivia,-14.33110046,-68.00559998,Piedmont,209,yes
CURUYUQU,Bolivia,-18.7670002,-62.23300171,Piedmont,232,yes
"Curuyuqui, chaco",Bolivia,-21.20000076,-63.68000031,Piedmont,233,yes
"Gasoducto en Tucavaca, bosque seco",Bolivia,-18.52000046,-60.81999969,Piedmont,294,yes
"German Busch, mata seca",Bolivia,-17.89999962,-59.25,Central Brazil,296,yes
"Izozog, chaco",Bolivia,-19.07999992,-62.41999817,Piedmont,349,yes
"Las Trancas, mata seca",Bolivia,-16.53000069,-61.84999847,Piedmont,387,yes
"Limoncito, bosque seco",Bolivia,-18.25,-59.93000031,Piedmont,390,yes
"Puerto Su·rez, bosque seco",Bolivia,-19.06999969,-58.15000153,Central Brazil,614,yes
RIOUBITO,Bolivia,-14.36699963,-68.5,Piedmont,651,yes
"San JosÈ de Chiquitos, mata seca",Bolivia,-18,-60.56999969,Piedmont,681,yes
"San Lorenzo, bosque seco",Bolivia,-17.21999931,-62.95000076,Piedmont,683,yes
San Matias,Bolivia,-16.5,-58.5,Central Brazil,686,yes
"San Miguelito, mata seca",Bolivia,-17.03000069,-61.84999847,Piedmont,687,yes
"San Rafael, mata seca",Bolivia,-16.64999962,-60.09999847,Piedmont,689,yes
"Santa Cruz de la Sierra, mata seca",Bolivia,-17.78000069,-63.06999969,Piedmont,694,yes
SANTACRU,Bolivia,-17.7670002,-63.06669998,Piedmont,706,yes
SANTIAGO,Bolivia,-18.33300018,-59.5,Central Brazil,710,yes
"Santo CorazÛn, mata seca",Bolivia,-18.12000084,-58.95000076,Central Brazil,714,yes
"Serrania Volcanes, bosque andino",Bolivia,-18.10000038,-63.56999969,Piedmont,738,yes
"Serranias de Santiago, mata seca",Bolivia,-18.31999969,-59.61999893,Piedmont,739,yes
"Terevinto, mata seca",Bolivia,-17.70000076,-63.40000153,Piedmont,769,yes
YANAIGUA,Bolivia,-19.70000076,-62.09999847,Piedmont,802,yes
YANOMAYO,Bolivia,-14.39999962,-68.46700287,Piedmont,803,yes
CAPINOTA,Bolivia,-17.4829998,-66.09999847,NA,NA,No
"Kaa-Iya, chaco",Bolivia,-19.43000031,-60.52999878,NA,NA,No
La Chonta,Bolivia,-15.52999973,-62.81999969,NA,NA,No
Noel Kempff Mercado,Bolivia,-14.63000011,-60.70000076,NA,NA,No
Perseverancia,Bolivia,-14.68000031,-62.61999893,NA,NA,No
QUIAPACA,Bolivia,-18.33300018,-59.5,NA,NA,No
"Trinidad, El Beni",Bolivia,-14.11999989,-65.01999664,NA,NA,No
"√Ågua Branca, caatinga quartzosa",Brazil,-9.264200211,-37.90280151,Caatinga,2,yes
"A√ßu, caatinga quartzosa",Brazil,-5.624400139,-36.93939972,Caatinga,3,yes
"Aiuaba, caatinga quartzosa",Brazil,-6.669700146,-40.21080017,Caatinga,8,yes
"Alegria, floresta semidecidual",Brazil,-27.82250023,-54.0821991,Misiones,15,yes
"Alto Paraguai, floresta rip√≠cola",Brazil,-17.84830093,-57.40390015,Central Brazil,19,yes
"Anast√°cio, cerrad√£o mesotr√≥fico",Brazil,-19.19219971,-57.58810043,Central Brazil,25,yes
"Anast√°cio, floresta rip√≠cola",Brazil,-20.77860069,-56.75109863,Central Brazil,26,yes
"Andorinha, floresta areno-rup√≠cola",Brazil,-10.13939953,-39.83000183,Caatinga,27,yes
"Ang√ºera, mata decidual do Agreste",Brazil,-12.16250038,-39.18579865,Caatinga,28,yes
"Aquidauana, Camis√£o, cerrad√£o mesotr√≥fico",Brazil,-18.01469994,-56.51029968,Central Brazil,36,yes
"Ara√ßua√≠, caatinga arb√≥rea",Brazil,-16.90609932,-42.10720062,Caatinga,37,yes
"Araguari, floresta decidual",Brazil,-18.63419914,-48.08890152,Central Brazil,38,yes
"Arapiraca, floresta decidual do Agreste",Brazil,-9.711700439,-36.65219879,Caatinga,39,yes
"Arapor√£, floresta decidual",Brazil,-18.51860046,-49.06280136,Central Brazil,40,yes
"Araputanga, floresta rip√≠cola",Brazil,-16.3125,-56.53639984,Central Brazil,41,yes
"Araripe, floresta decidual de brejo",Brazil,-7.238100052,-39.97610092,Caatinga,42,yes
"Arcos e Pains, floresta decidual",Brazil,-20.32920074,-45.57970047,Central Brazil,43,yes
"Arcoverde, caatinga quartzosa",Brazil,-8.281399727,-37.04970169,Caatinga,44,yes
"Areia Branca, caatinga costeira",Brazil,-5.054999828,-37.07310104,Caatinga,47,yes
"Aren√°polis, floresta rip√≠cola",Brazil,-17.19330025,-56.92470169,Central Brazil,48,yes
"Assis Chateaubriand, floresta semidecidual",Brazil,-24.40439987,-53.52640152,Misiones,51,yes
"Ba√≠a das Gar√ßas, cerrad√£o mesotr√≥fico",Brazil,-19.54809952,-55.60309982,Central Brazil,53,yes
"Baldim, floresta decidual",Brazil,-19.27330017,-43.84080124,Central Brazil,57,yes
"Bandeirantes, cerrad√£o mesotr√≥fico",Brazil,-19.10750008,-57.64139938,Central Brazil,60,yes
"Bandeirantes, cerrad√£o mesotr√≥fico",Brazil,-19.1079998,-57.64099884,Central Brazil,61,yes
"Bara√∫na, caatinga costeira",Brazil,-5.074200153,-37.59780121,Caatinga,62,yes
"Barbalha, floresta decidual de brejo",Brazil,-7.376699924,-39.31330109,Caatinga,63,yes
"Barra de Farias, caatinga quartzosa",Brazil,-8.150600433,-36.29970169,Caatinga,64,yes
"Barra de S√£o Miguel, caatinga quartzosa",Brazil,-7.740300179,-36.39580154,Caatinga,65,yes
"Barra do Corda, floresta aren√≠cola",Brazil,-5.543600082,-45.2983017,Central Brazil,66,yes
"Barra, caatinga aren√≠cola",Brazil,-11.10830021,-42.98970032,Caatinga,67,yes
"Baturit√©, Mulungu, floresta decidual de brejo",Brazil,-4.286399841,-38.99359894,Caatinga,70,yes
"Baturit√©, Salva-Vidas, caatinga quartzosa",Brazil,-4.252200127,-38.98389816,Caatinga,71,yes
"Bela Vista, cerrad√£o mesotr√≥fico",Brazil,-19.49749947,-56.17169952,Central Brazil,74,yes
"Bela Vista, floresta decidual",Brazil,-17.8321991,-57.66609955,Central Brazil,75,yes
"Berilo, caatinga arb√≥rea",Brazil,-16.97610092,-42.48889923,Caatinga,79,yes
"Bet√¢nia, caatinga quartzosa",Brazil,-8.289699554,-38.17060089,Caatinga,81,yes
"Boa Esperan√ßa do Igua√ßu, floresta semidecidual",Brazil,-25.59690094,-53.24919891,Misiones,84,yes
"Bocai√∫va, floresta decidual",Brazil,-17.07360077,-43.76720047,Caatinga,85,yes
"Bodoquena, Rio Salobra, floresta rip√≠cola",Brazil,-21.45079994,-56.50360107,Central Brazil,87,yes
"Bodoquena, Rio Salobrinha, floresta rip√≠cola",Brazil,-21.28779984,-56.69639969,Central Brazil,88,yes
"Bom Jesus da Lapa,  caatinga carbon√°tica",Brazil,-13.10690022,-43.17559814,Caatinga,90,yes
"Bom Jesus da Lapa, caatinga arb√≥rea",Brazil,-13.11670017,-43.32419968,Caatinga,91,yes
"Bom Jesus de Goi√°s, floresta decidual",Brazil,-15.92580032,-50.08280182,Central Brazil,92,yes
"Bonito, cerrad√£o mesotr√≥fico",Brazil,-19.02669907,-57.68420029,Central Brazil,94,yes
"Bonito, cerrad√£o mesotr√≥fico",Brazil,-19.02700043,-57.68399811,Central Brazil,95,yes
"Boqueir√£o, caatinga quartzosa",Brazil,-7.54309988,-36.18690109,Caatinga,96,yes
"Bossoroca, floresta semidecidual",Brazil,-28.73670006,-55.15219879,Misiones,102,yes
"Bras√≠lia, FERCAL, floresta decidual",Brazil,-15.55970001,-48.05170059,Central Brazil,104,yes
"Brotas de Maca√∫bas, floresta areno-rup√≠cola",Brazil,-12.19919968,-42.38579941,Caatinga,108,yes
"Brumado, caatinga alcalina",Brazil,-14.19390011,-41.5155983,Caatinga,109,yes
"Bu√≠que, Brejo, floresta decidual aren√≠cola",Brazil,-8.596400261,-37.2181015,Caatinga,114,yes
"Bu√≠que, caatinga aren√≠cola",Brazil,-8.393099785,-37.37440109,Caatinga,115,yes
"Bu√≠que, nanofloresta decidual areno-rup√≠cola",Brazil,-8.562199593,-37.26190186,Caatinga,116,yes
"Buritizeiro, floresta decidual",Brazil,-17.26469994,-44.94029999,Central Brazil,117,yes
"Caarap√≥, floresta semidecidual",Brazil,-22.43190002,-55.66749954,Central Brazil,119,yes
"Cabaceiras, caatinga quartzosa",Brazil,-7.328299999,-36.28030014,Caatinga,120,yes
"Cacimba de Dentro, caatinga quartzosa",Brazil,-6.67689991,-35.75389862,Caatinga,125,yes
"Cafuringa, floresta rip√≠cola",Brazil,-15.50469971,-48.16690063,Central Brazil,126,yes
"Caibi, floresta semidecidual",Brazil,-26.99749947,-53.2358017,Misiones,127,yes
"Camapu√£, cerrad√£o distr√≥fico",Brazil,-19.94779968,-56.33969879,Central Brazil,130,yes
"Camapu√£, Rio Coxim, floresta rip√≠cola",Brazil,-21.16360092,-56.43330002,Central Brazil,131,yes
"Campina Grande, caatinga quartzosa",Brazil,-7.284999847,-35.97639847,Caatinga,135,yes
"Campina Grande, floresta decidual de brejo",Brazil,-7.153600216,-35.87360001,Caatinga,136,yes
"Campo Alegre de Lurdes, caatinga aren√≠cola",Brazil,-9.402799606,-43.21310043,Caatinga,137,yes
"Campo Formoso, floresta decidual rup√≠cola",Brazil,-10.55720043,-40.42169952,Caatinga,138,yes
"Campo Grande do Piau√≠, caatinga aren√≠cola",Brazil,-7.070000172,-40.95190048,Caatinga,139,yes
"Campo Maior, nanofloresta aluvional",Brazil,-4.713600159,-42.22779846,Central Brazil,140,yes
"Campo Maior, nanofloresta aren√≠cola",Brazil,-4.876699924,-42.0625,Central Brazil,141,yes
"Canind√© do S√£o Francisco, caatinga aren√≠cola",Brazil,-9.646699905,-37.74250031,Caatinga,144,yes
"Canudos, caatinga aren√≠cola",Brazil,-9.936900139,-39.05939865,Caatinga,145,yes
"Capistrano, caatinga quartzosa",Brazil,-4.466700077,-38.71530151,Caatinga,147,yes
"Capit√£o En√©as, caatinga arb√≥rea",Brazil,-16.1508007,-43.71969986,Caatinga,148,yes
"Capit√£o Le√¥nidas Marques, floresta semidecidual",Brazil,-25.52939987,-53.53310013,Misiones,149,yes
"Caracol, floresta decidual",Brazil,-17.92779922,-57.54779816,Central Brazil,156,yes
"Cardeal Mota, floresta decidual",Brazil,-19.30809975,-43.6169014,Central Brazil,157,yes
"Carinhanha, caatinga arb√≥rea",Brazil,-14.16390038,-43.84560013,Caatinga,158,yes
"Carnaubais, caatinga costeira",Brazil,-5.303899765,-36.97890091,Caatinga,160,yes
"Caruaru, caatinga quartzosa",Brazil,-8.297499657,-36.07220078,Caatinga,161,yes
"Carvori a Tupantuba, floresta semidecidual",Brazil,-28.94219971,-54.87939835,Misiones,162,yes
"Casa Nova, caatinga aren√≠cola",Brazil,-9.347800255,-41.65779877,Caatinga,163,yes
"Caturama, caatinga arb√≥rea",Brazil,-13.24499989,-42.20890045,Caatinga,166,yes
"Caturit√©, caatinga quartzosa",Brazil,-7.446899891,-35.99639893,Caatinga,167,yes
"Cavernas do Perua√ßu, caatinga arb√≥rea",Brazil,-15.12609959,-44.23889923,Caatinga,168,yes
"Cerro Largo, floresta semidecidual",Brazil,-28.12750053,-54.73559952,Misiones,175,yes
"Chapada da Contagem, floresta decidual",Brazil,-15.57689953,-47.88940048,Central Brazil,184,yes
"Cocal, nanofloresta aren√≠cola",Brazil,-3.428900003,-41.50780106,Central Brazil,196,yes
"Cocalzinho de Goias, cerrado rupicola",Brazil,-15.82400036,-48.70700073,Central Brazil,197,yes
"Cocos, caatinga arb√≥rea",Brazil,-14.27250004,-44.71170044,Caatinga,198,yes
"Contendas do Sincor√°, caatinga alcalina",Brazil,-13.7638998,-41.00780106,Caatinga,210,yes
"Corguinho, floresta rip√≠cola",Brazil,-21.41329956,-56.36640167,Central Brazil,212,yes
"Coribe, caatinga arb√≥rea",Brazil,-13.9357996,-44.42720032,Caatinga,213,yes
"Correntina, caatinga arb√≥rea",Brazil,-13.69439983,-44.36809921,Caatinga,214,yes
"Corumb√°, Morraria Sul, floresta decidual",Brazil,-21.46859932,-55.14780045,Central Brazil,215,yes
"Coxim, cerrado",Brazil,-20.43860054,-55.64640045,Central Brazil,217,yes
"Coxip√≥ da Ponte, floresta rip√≠cola",Brazil,-16.50749969,-56.37670135,Central Brazil,218,yes
"Crato, floresta decidual de brejo",Brazil,-7.239699841,-39.4844017,Caatinga,221,yes
"Crist√≥polis, caatinga arb√≥rea",Brazil,-12.21689987,-44.41329956,Caatinga,222,yes
"Cristalina, cerrado",Brazil,-14.06389999,-46.48749924,Central Brazil,223,yes
"Cristalina, cerrado",Brazil,-14.06400013,-46.48500061,Central Brazil,224,yes
"Cruzeiro dos Peixotos, floresta decidual",Brazil,-18.66860008,-48.39609909,Central Brazil,225,yes
"Cust√≥dia, caatinga quartzosa",Brazil,-8.055299759,-37.65530014,Caatinga,234,yes
"Derrubadas, Parque do Turvo, floresta semidecidual",Brazil,-27.22719955,-53.88190079,Misiones,239,yes
"Diamantino, floresta rip√≠cola",Brazil,-16.76600075,-56.32600021,Central Brazil,241,yes
"Diamantino, floresta rip√≠cola",Brazil,-16.76639938,-56.3260994,Central Brazil,242,yes
"Dois Irm√£os do Buriti, cerrad√£o distr√≥fico",Brazil,-20.16110039,-56.14279938,Central Brazil,243,yes
"Dois Irm√£os do Buriti, cerrad√£o mesotr√≥fico",Brazil,-18.60110092,-56.39250183,Central Brazil,244,yes
Dom4 (Goi√°s),Brazil,-13.57269955,-46.72510147,Central Brazil,245,yes
"Dores√≥polis, floresta decidual",Brazil,-20.27109909,-45.97029877,Central Brazil,247,yes
"Eliseu Martins, floresta aren√≠cola",Brazil,-8.168100357,-43.68330002,Caatinga,261,yes
"Espinosa, caatinga alcalina",Brazil,-14.94810009,-42.83250046,Caatinga,267,yes
"Euclides da Cunha, caatinga quartzosa",Brazil,-10.41170025,-39.18780136,Caatinga,269,yes
Fazenda S√£o Jos√© (S√£o Domingos),Brazil,-13.81760025,-46.68330002,Central Brazil,270,yes
Fazenda S√£o Vicente (S√£o Domingos),Brazil,-13.51990032,-46.65719986,Central Brazil,271,yes
"Fecho dos Morros, floresta decidual chaquenha",Brazil,-21.44919968,-57.91389847,Central Brazil,272,yes
"Fecho dos Morros, floresta estacional inund√°vel",Brazil,-21.49810028,-57.88359833,Central Brazil,273,yes
"Feira da Mata, caatinga arb√≥rea",Brazil,-14.21140003,-44.20940018,Caatinga,274,yes
"Feira de Santana, mata decidual do Agreste",Brazil,-12.31610012,-38.96720123,Caatinga,275,yes
"Fica Faca, floresta decidual",Brazil,-14.44110012,-52.67169952,Central Brazil,276,yes
"Floresta, caatinga quartzosa",Brazil,-8.570300102,-38.53720093,Caatinga,280,yes
"Formosa do Rio Preto, caatinga arb√≥rea",Brazil,-11.21829987,-45.40280151,Caatinga,281,yes
"Formoso do Araguaia, cerrad√£o satur√°vel",Brazil,-12.96860027,-48.49110031,Central Brazil,282,yes
"Foz do Igua√ßu, floresta semidecidual",Brazil,-25.62669945,-54.42810059,Misiones,285,yes
"Francisco S√°, caatinga arb√≥rea",Brazil,-16.44689941,-43.47029877,Caatinga,286,yes
"Frederico Westphalen, floresta semidecidual",Brazil,-27.36639977,-53.34719849,Misiones,287,yes
"Frei Paulo, caatinga quartzosa",Brazil,-10.54469967,-37.50030136,Caatinga,288,yes
"Gentio do Ouro, floresta areno-rup√≠cola",Brazil,-11.36279964,-42.36059952,Caatinga,295,yes
"Giru√°, floresta semidecidual",Brazil,-28.02249908,-54.29249954,Misiones,299,yes
"Gl√≥ria, caatinga aren√≠cola",Brazil,-9.343299866,-38.42440033,Caatinga,300,yes
"Gruta de Maquin√©, floresta decidual",Brazil,-19.12280083,-44.35189819,Central Brazil,304,yes
"Gua√≠ra, floresta semidecidual",Brazil,-24.09110069,-54.27890015,Misiones,305,yes
"Guanambi, caatinga alcalina",Brazil,-14.27810001,-42.83420181,Caatinga,309,yes
"Guia Lopes da Laguna, cerrad√£o mesotr√≥fico",Brazil,-19.02969933,-57.44189835,Central Brazil,314,yes
"Horizontina, floresta semidecidual",Brazil,-27.58639908,-54.30860138,Misiones,324,yes
"Ia√ßu, caatinga quartzosa",Brazil,-12.79920006,-40.19079971,Caatinga,327,yes
"Ibia√≠, Pacu√≠, floresta decidual",Brazil,-16.7866993,-44.96469879,Central Brazil,328,yes
"Ibimirim, caatinga aren√≠cola",Brazil,-8.602199554,-37.6128006,Caatinga,329,yes
"Ibiraba, caatinga aren√≠cola",Brazil,-10.78170013,-42.88470078,Caatinga,330,yes
"Ibotirama, caatinga arb√≥rea",Brazil,-12.10389996,-43.22779846,Caatinga,331,yes
"Iju√≠, floresta semidecidual",Brazil,-28.25830078,-53.87110138,Misiones,334,yes
"Inhamuns, caatinga quartzosa",Brazil,-5.866700172,-39.84999847,Caatinga,336,yes
"Ipir√°, mata decidual do Agreste",Brazil,-12.15060043,-39.6935997,Caatinga,337,yes
"Iraquara, caatinga carbon√°tica",Brazil,-12.31000042,-41.50360107,Caatinga,338,yes
"Irec√™, caatinga carbon√°tica",Brazil,-11.25220013,-41.91030121,Caatinga,339,yes
"Itaberaba, mata decidual do Agreste",Brazil,-12.48029995,-40.36750031,Caatinga,341,yes
"Itacarambi, caatinga arb√≥rea",Brazil,-15.04940033,-44.06140137,Caatinga,342,yes
"Itaobim, caatinga arb√≥rea",Brazil,-16.53170013,-41.56219864,Caatinga,343,yes
"Itapiranga, floresta semidecidual",Brazil,-27.19000053,-53.63000107,Misiones,344,yes
"Itatim, caatinga quartzosa",Brazil,-12.74499989,-39.71110153,Caatinga,345,yes
"Iti√∫ba, caatinga aren√≠cola",Brazil,-10.6935997,-39.99919891,Caatinga,346,yes
"Itinga, caatinga arb√≥rea",Brazil,-16.6093998,-41.81560135,Caatinga,347,yes
"Ituiutaba, floresta decidual",Brazil,-19.08279991,-49.40859985,Central Brazil,348,yes
"Ja√≠ba, Reserva Ecol√≥gica, caatinga arb√≥rea",Brazil,-15.06750011,-43.76060104,Caatinga,350,yes
"Ja√≠ba, Serra Azul, caatinga arb√≥rea",Brazil,-15.36830044,-44.02809906,Caatinga,351,yes
"Jaborandi, caatinga carbon√°tica",Brazil,-13.61170006,-44.43939972,Caatinga,352,yes
"Jacobina, nanofloresta decidual rup√≠cola",Brazil,-11.17000008,-40.49530029,Caatinga,353,yes
"Jaguarari, floresta areno-rup√≠cola",Brazil,-10.1857996,-40.25920105,Caatinga,354,yes
"Jana√∫ba, caatinga arb√≥rea",Brazil,-15.75889969,-43.66939926,Caatinga,356,yes
"Janu√°ria, Brejo do Amparo, caatinga arb√≥rea",Brazil,-15.44579983,-44.40940094,Caatinga,357,yes
"Jaraguari, cerrad√£o mesotr√≥fico",Brazil,-19.17420006,-57.62810135,Central Brazil,358,yes
"Jaraguari, cerrad√£o mesotr√≥fico",Brazil,-19.20499992,-57.60900116,Central Brazil,359,yes
"Jata√≠, cerrado",Brazil,-13.6736002,-46.71889877,Central Brazil,360,yes
"Jata√≠, cerrado",Brazil,-13.68350029,-46.73270035,Central Brazil,361,yes
"Jata√∫ba, floresta decidual de brejo",Brazil,-8.1583004,-36.65779877,Caatinga,362,yes
"Jenipapo de Minas, caatinga arb√≥rea",Brazil,-17.12170029,-42.2071991,Caatinga,363,yes
"Jequita√≠, floresta decidual",Brazil,-17.15609932,-44.62810135,Central Brazil,364,yes
"Jeremoabo, caatinga aren√≠cola",Brazil,-10.14719963,-38.34249878,Caatinga,365,yes
"Juazeiro, caatinga aren√≠cola",Brazil,-9.364199638,-40.27360153,Caatinga,367,yes
"Jucurutu, caatinga quartzosa",Brazil,-6.054699898,-37.03139877,Caatinga,368,yes
"Juramento, floresta decidual",Brazil,-16.77499962,-43.66360092,Caatinga,369,yes
"Juven√≠lia, caatinga arb√≥rea",Brazil,-14.28530025,-44.11109924,Caatinga,370,yes
"Lagoa da Confus√£o, cerrad√£o satur√°vel",Brazil,-12.57359982,-46.39889908,Central Brazil,377,yes
"Lagoa da Confus√£o, floresta de v√°rzea",Brazil,-8.676699638,-48.39139938,Central Brazil,378,yes
"Lagoa da Tartaruga, floresta de v√°rzea",Brazil,-6.028100014,-47.86780167,Central Brazil,379,yes
